PAYROLL,COMPONENT,GL,BRANCH,AMOUNT(SLL)
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"HEAD OFFICE",84646329.66
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"SIAKA STEVENS STREET BRANCH",70315524.46
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"CLOCK TOWER BRANCH",16930400.52
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"BO BRANCH",16729003.62
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"KENEMA BRANCH",24274466.64
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"WELLINGTON BRANCH",7777434.54
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"WILBERFORCE STREET BRANCH",16729003.62
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"KOIDU BRANCH",12179634.54
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"MOYAMBA BRANCH",5576334.54
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"PUJEHUN BRANCH",15407700.00
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"CONGO CROSS BRANCH",14729300.52
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"MAKENI BRANCH",7622968.46
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"KABALA BRANCH",2201100.00
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"KAILAHUN BRANCH",2201100.00
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"WILKINSON ROAD BRANCH",4402200.00
"January 2022 Salary - Contract Staff","Gross Salary - Contract",,"JUBA BRANCH",3375234.54
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"HEAD OFFICE",4147360.14
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"SIAKA STEVENS STREET BRANCH",2496300.06
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"CLOCK TOWER BRANCH",591650.99
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"BO BRANCH",581581.14
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"KENEMA BRANCH",1043810.64
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"WELLINGTON BRANCH",303915.38
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"WILBERFORCE STREET BRANCH",581581.14
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"KOIDU BRANCH",524025.38
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"MOYAMBA BRANCH",193860.38
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"PUJEHUN BRANCH",770385.00
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"CONGO CROSS BRANCH",387720.76
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"MAKENI BRANCH",303915.38
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"KABALA BRANCH",110055.00
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"KAILAHUN BRANCH",110055.00
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"WILKINSON ROAD BRANCH",220110.00
"January 2022 Salary - Contract Staff","NASSIT (5%) - Contract",124300000016,"JUBA BRANCH",83805.38
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"HEAD OFFICE",8294720.29
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"SIAKA STEVENS STREET BRANCH",4992600.24
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"CLOCK TOWER BRANCH",1183302.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"BO BRANCH",1163162.31
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"KENEMA BRANCH",2087621.30
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"WELLINGTON BRANCH",607830.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"WILBERFORCE STREET BRANCH",1163162.31
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"KOIDU BRANCH",1048050.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"MOYAMBA BRANCH",387720.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"PUJEHUN BRANCH",1540770.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"CONGO CROSS BRANCH",775441.54
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"MAKENI BRANCH",607830.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"KABALA BRANCH",220110.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"KAILAHUN BRANCH",220110.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"WILKINSON ROAD BRANCH",440220.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Deduc) - Contract",124300000032,"JUBA BRANCH",167610.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"HEAD OFFICE",8294720.29
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"SIAKA STEVENS STREET BRANCH",4992600.24
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"CLOCK TOWER BRANCH",1183302.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"BO BRANCH",1163162.31
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"KENEMA BRANCH",2087621.30
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"WELLINGTON BRANCH",607830.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"WILBERFORCE STREET BRANCH",1163162.31
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"KOIDU BRANCH",1048050.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"MOYAMBA BRANCH",387720.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"PUJEHUN BRANCH",1540770.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"CONGO CROSS BRANCH",775441.54
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"MAKENI BRANCH",607830.77
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"KABALA BRANCH",220110.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"KAILAHUN BRANCH",220110.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"WILKINSON ROAD BRANCH",440220.00
"January 2022 Salary - Contract Staff","NASSIT 10% (Payt) - Contract",143000000001,"JUBA BRANCH",167610.77
"January 2022 Salary - Contract Staff","Net Salary - contract",,"HEAD OFFICE",76071526.04
"January 2022 Salary - Contract Staff","Net Salary - contract",,"SIAKA STEVENS STREET BRANCH",64089167.04
"January 2022 Salary - Contract Staff","Net Salary - contract",,"CLOCK TOWER BRANCH",15440118.30
"January 2022 Salary - Contract Staff","Net Salary - contract",,"BO BRANCH",15259314.24
"January 2022 Salary - Contract Staff","Net Salary - contract",,"KENEMA BRANCH",21952969.90
"January 2022 Salary - Contract Staff","Net Salary - contract",,"WELLINGTON BRANCH",7062475.60
"January 2022 Salary - Contract Staff","Net Salary - contract",,"WILBERFORCE STREET BRANCH",15259314.24
"January 2022 Salary - Contract Staff","Net Salary - contract",,"KOIDU BRANCH",11014550.64
"January 2022 Salary - Contract Staff","Net Salary - contract",,"MOYAMBA BRANCH",5086438.08
"January 2022 Salary - Contract Staff","Net Salary - contract",,"PUJEHUN BRANCH",13832262.64
"January 2022 Salary - Contract Staff","Net Salary - contract",,"CONGO CROSS BRANCH",13552792.87
"January 2022 Salary - Contract Staff","Net Salary - contract",,"MAKENI BRANCH",6916505.15
"January 2022 Salary - Contract Staff","Net Salary - contract",,"KABALA BRANCH",1976037.52
"January 2022 Salary - Contract Staff","Net Salary - contract",,"KAILAHUN BRANCH",1976037.52
"January 2022 Salary - Contract Staff","Net Salary - contract",,"WILKINSON ROAD BRANCH",3952075.04
"January 2022 Salary - Contract Staff","Net Salary - contract",,"JUBA BRANCH",3110400.56
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"HEAD OFFICE",4427443.48
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"SIAKA STEVENS STREET BRANCH",3730057.36
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"CLOCK TOWER BRANCH",898631.23
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"BO BRANCH",888108.24
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"KENEMA BRANCH",1277686.10
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"WELLINGTON BRANCH",411043.56
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"WILBERFORCE STREET BRANCH",888108.24
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"KOIDU BRANCH",641058.52
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"MOYAMBA BRANCH",296036.08
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"PUJEHUN BRANCH",805052.36
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"CONGO CROSS BRANCH",788786.89
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"MAKENI BRANCH",402547.93
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"KABALA BRANCH",115007.48
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"KAILAHUN BRANCH",115007.48
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"WILKINSON ROAD BRANCH",230014.96
"January 2022 Salary - Contract Staff","Total Deductions - Contract",,"JUBA BRANCH",181028.60
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"HEAD OFFICE",4427443.48
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"SIAKA STEVENS STREET BRANCH",3730057.36
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"CLOCK TOWER BRANCH",898631.23
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"BO BRANCH",888108.24
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"KENEMA BRANCH",1277686.10
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"WELLINGTON BRANCH",411043.56
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"WILBERFORCE STREET BRANCH",888108.24
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"KOIDU BRANCH",641058.52
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"MOYAMBA BRANCH",296036.08
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"PUJEHUN BRANCH",805052.36
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"CONGO CROSS BRANCH",788786.89
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"MAKENI BRANCH",402547.93
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"KABALA BRANCH",115007.48
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"KAILAHUN BRANCH",115007.48
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"WILKINSON ROAD BRANCH",230014.96
"January 2022 Salary - Contract Staff","Witholding Tax",124300000085,"JUBA BRANCH",181028.60
