Amount,Component,Branch
332606.32,"Duty Allowance","JUBA BRANCH"
0.00,"Duty Allowance","KAILAHUN BRANCH"
0.00,"Duty Allowance","KENEMA BRANCH"
0.00,"Duty Allowance","MAKENI BRANCH"
997818.96,"Duty Allowance","PUJEHUN BRANCH"
277155.84,"Duty Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Duty Allowance","WELLINGTON BRANCH"
277155.84,"Duty Allowance","WILBERFORCE STREET BRANCH"
0.00,"Duty Allowance","WILKINSON ROAD BRANCH"
17355124.00,Employee_NASSIT,"BO BRANCH"
1953774.60,Employee_NASSIT,"CHARLOTTE STREET BRANCH"
17275094.98,Employee_NASSIT,"CLOCK TOWER BRANCH"
3865673.52,Employee_NASSIT,"CONGO CROSS BRANCH"
175037949.06,Employee_NASSIT,"HEAD OFFICE"
10271045.28,Employee_NASSIT,"JUBA BRANCH"
20075813.90,Employee_NASSIT,"KAILAHUN BRANCH"
15347299.52,Employee_NASSIT,"KENEMA BRANCH"
5341620.72,Employee_NASSIT,"MAKENI BRANCH"
17051035.04,Employee_NASSIT,"PUJEHUN BRANCH"
38517726.26,Employee_NASSIT,"SIAKA STEVENS STREET BRANCH"
662366.16,Employee_NASSIT,"WELLINGTON BRANCH"
3435329.80,Employee_NASSIT,"WILBERFORCE STREET BRANCH"
5618541.82,Employee_NASSIT,"WILKINSON ROAD BRANCH"
34710248.00,Employer_NASSIT,"BO BRANCH"
3907549.00,Employer_NASSIT,"CHARLOTTE STREET BRANCH"
34550191.02,Employer_NASSIT,"CLOCK TOWER BRANCH"
7731347.02,Employer_NASSIT,"CONGO CROSS BRANCH"
350382064.90,Employer_NASSIT,"HEAD OFFICE"
20542090.46,Employer_NASSIT,"JUBA BRANCH"
42624879.48,Employer_NASSIT,"KAILAHUN BRANCH"
30694599.04,Employer_NASSIT,"KENEMA BRANCH"
10683241.20,Employer_NASSIT,"MAKENI BRANCH"
34102070.60,Employer_NASSIT,"PUJEHUN BRANCH"
77035452.14,Employer_NASSIT,"SIAKA STEVENS STREET BRANCH"
1324732.38,Employer_NASSIT,"WELLINGTON BRANCH"
6870659.60,Employer_NASSIT,"WILBERFORCE STREET BRANCH"
11237083.90,Employer_NASSIT,"WILKINSON ROAD BRANCH"
9315736.46,Lunch,"BO BRANCH"
4614115.10,Lunch,"CHARLOTTE STREET BRANCH"
36253761.50,Lunch,"CLOCK TOWER BRANCH"
4614115.10,Lunch,"CONGO CROSS BRANCH"
122101320.32,Lunch,"HEAD OFFICE"
10546548.80,Lunch,"JUBA BRANCH"
29662168.50,Lunch,"KAILAHUN BRANCH"
5731816.96,Lunch,"KENEMA BRANCH"
7909911.60,Lunch,"MAKENI BRANCH"
19115619.70,Lunch,"PUJEHUN BRANCH"
45542492.12,Lunch,"SIAKA STEVENS STREET BRANCH"
0.00,Lunch,"WELLINGTON BRANCH"
4614115.10,Lunch,"WILBERFORCE STREET BRANCH"
8569070.90,Lunch,"WILKINSON ROAD BRANCH"
40000.00,medical_excess,"BO BRANCH"
400000.00,medical_excess,"CHARLOTTE STREET BRANCH"
2120000.00,medical_excess,"CLOCK TOWER BRANCH"
280000.00,medical_excess,"CONGO CROSS BRANCH"
8460000.00,medical_excess,"HEAD OFFICE"
680000.00,medical_excess,"JUBA BRANCH"
1800000.00,medical_excess,"KAILAHUN BRANCH"
800000.00,medical_excess,"KENEMA BRANCH"
480000.00,medical_excess,"MAKENI BRANCH"
1040000.00,medical_excess,"PUJEHUN BRANCH"
2980000.00,medical_excess,"SIAKA STEVENS STREET BRANCH"
120000.00,medical_excess,"WELLINGTON BRANCH"
280000.00,medical_excess,"WILBERFORCE STREET BRANCH"
520000.00,medical_excess,"WILKINSON ROAD BRANCH"
0.00,Overtime,"BO BRANCH"
1620000.00,Overtime,"CHARLOTTE STREET BRANCH"
2210000.00,Overtime,"CLOCK TOWER BRANCH"
0.00,Overtime,"CONGO CROSS BRANCH"
31340000.00,Overtime,"HEAD OFFICE"
2280000.00,Overtime,"JUBA BRANCH"
0.00,Overtime,"KAILAHUN BRANCH"
0.00,Overtime,"KENEMA BRANCH"
0.00,Overtime,"MAKENI BRANCH"
1380000.00,Overtime,"PUJEHUN BRANCH"
7960000.00,Overtime,"SIAKA STEVENS STREET BRANCH"
0.00,Overtime,"WELLINGTON BRANCH"
0.00,Overtime,"WILBERFORCE STREET BRANCH"
7300000.00,Overtime,"WILKINSON ROAD BRANCH"
106440043.74,paye,"BO BRANCH"
10689234.52,paye,"CHARLOTTE STREET BRANCH"
117298020.16,paye,"CLOCK TOWER BRANCH"
22668471.36,paye,"CONGO CROSS BRANCH"
1102524189.04,paye,"HEAD OFFICE"
68659015.14,paye,"JUBA BRANCH"
124820579.14,paye,"KAILAHUN BRANCH"
98517827.00,paye,"KENEMA BRANCH"
30814865.14,paye,"MAKENI BRANCH"
149141304.98,paye,"PUJEHUN BRANCH"
253278335.32,paye,"SIAKA STEVENS STREET BRANCH"
4493915.70,paye,"WELLINGTON BRANCH"
18978867.38,paye,"WILBERFORCE STREET BRANCH"
34569630.80,paye,"WILKINSON ROAD BRANCH"
,staff_association,"BO BRANCH"
,staff_association,"CHARLOTTE STREET BRANCH"
,staff_association,"CLOCK TOWER BRANCH"
,staff_association,"CONGO CROSS BRANCH"
,staff_association,"HEAD OFFICE"
,staff_association,"JUBA BRANCH"
,staff_association,"KAILAHUN BRANCH"
,staff_association,"KENEMA BRANCH"
,staff_association,"MAKENI BRANCH"
,staff_association,"PUJEHUN BRANCH"
,staff_association,"SIAKA STEVENS STREET BRANCH"
,staff_association,"WELLINGTON BRANCH"
,staff_association,"WILBERFORCE STREET BRANCH"
,staff_association,"WILKINSON ROAD BRANCH"
19322716.88,"Stewards Allowance","BO BRANCH"
0.00,"Stewards Allowance","CHARLOTTE STREET BRANCH"
0.00,"Stewards Allowance","CLOCK TOWER BRANCH"
0.00,"Stewards Allowance","CONGO CROSS BRANCH"
103034891.00,"Stewards Allowance","HEAD OFFICE"
0.00,"Stewards Allowance","JUBA BRANCH"
0.00,"Stewards Allowance","KAILAHUN BRANCH"
50322426.08,"Stewards Allowance","KENEMA BRANCH"
0.00,"Stewards Allowance","MAKENI BRANCH"
0.00,"Stewards Allowance","PUJEHUN BRANCH"
25161213.04,"Stewards Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Stewards Allowance","WELLINGTON BRANCH"
0.00,"Stewards Allowance","WILBERFORCE STREET BRANCH"
0.00,"Stewards Allowance","WILKINSON ROAD BRANCH"
0.00,sundry_allowance,"BO BRANCH"
0.00,sundry_allowance,"CHARLOTTE STREET BRANCH"
852319.36,sundry_allowance,"CLOCK TOWER BRANCH"
0.00,sundry_allowance,"CONGO CROSS BRANCH"
5244154.58,sundry_allowance,"HEAD OFFICE"
1294452.22,sundry_allowance,"JUBA BRANCH"
1704638.72,sundry_allowance,"KAILAHUN BRANCH"
0.00,sundry_allowance,"KENEMA BRANCH"
0.00,sundry_allowance,"MAKENI BRANCH"
0.00,sundry_allowance,"PUJEHUN BRANCH"
0.00,sundry_allowance,"SIAKA STEVENS STREET BRANCH"
0.00,sundry_allowance,"WELLINGTON BRANCH"
0.00,sundry_allowance,"WILBERFORCE STREET BRANCH"
0.00,sundry_allowance,"WILKINSON ROAD BRANCH"
1614336.42,Transport,"BO BRANCH"
17879218.96,Transport,"CHARLOTTE STREET BRANCH"
88788503.10,Transport,"CLOCK TOWER BRANCH"
15303927.86,Transport,"CONGO CROSS BRANCH"
270241629.74,Transport,"HEAD OFFICE"
57252646.94,Transport,"JUBA BRANCH"
88659430.58,Transport,"KAILAHUN BRANCH"
0.00,Transport,"KENEMA BRANCH"
19372037.04,Transport,"MAKENI BRANCH"
104867563.52,Transport,"PUJEHUN BRANCH"
139971609.84,Transport,"SIAKA STEVENS STREET BRANCH"
10194761.34,Transport,"WELLINGTON BRANCH"
11300354.94,Transport,"WILBERFORCE STREET BRANCH"
26410735.50,Transport,"WILKINSON ROAD BRANCH"
,witholding_tax,"BO BRANCH"
,witholding_tax,"CHARLOTTE STREET BRANCH"
,witholding_tax,"CLOCK TOWER BRANCH"
,witholding_tax,"CONGO CROSS BRANCH"
,witholding_tax,"HEAD OFFICE"
,witholding_tax,"JUBA BRANCH"
,witholding_tax,"KAILAHUN BRANCH"
,witholding_tax,"KENEMA BRANCH"
,witholding_tax,"MAKENI BRANCH"
,witholding_tax,"PUJEHUN BRANCH"
,witholding_tax,"SIAKA STEVENS STREET BRANCH"
,witholding_tax,"WELLINGTON BRANCH"
,witholding_tax,"WILBERFORCE STREET BRANCH"
,witholding_tax,"WILKINSON ROAD BRANCH"
0.00,word_processing,"BO BRANCH"
0.00,word_processing,"CHARLOTTE STREET BRANCH"
0.00,word_processing,"CLOCK TOWER BRANCH"
0.00,word_processing,"CONGO CROSS BRANCH"
36998.00,word_processing,"HEAD OFFICE"
0.00,word_processing,"JUBA BRANCH"
36998.00,word_processing,"KAILAHUN BRANCH"
0.00,word_processing,"KENEMA BRANCH"
0.00,word_processing,"MAKENI BRANCH"
0.00,word_processing,"PUJEHUN BRANCH"
0.00,word_processing,"SIAKA STEVENS STREET BRANCH"
0.00,word_processing,"WELLINGTON BRANCH"
0.00,word_processing,"WILBERFORCE STREET BRANCH"
0.00,word_processing,"WILKINSON ROAD BRANCH"
