Amount,Component,Branch
0.00,"Duty Allowance","MAKENI BRANCH"
498909.48,"Duty Allowance","PUJEHUN BRANCH"
138577.92,"Duty Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Duty Allowance","WELLINGTON BRANCH"
138577.92,"Duty Allowance","WILBERFORCE STREET BRANCH"
0.00,"Duty Allowance","WILKINSON ROAD BRANCH"
8677562.00,Employee_NASSIT,"BO BRANCH"
976887.30,Employee_NASSIT,"CHARLOTTE STREET BRANCH"
8637547.49,Employee_NASSIT,"CLOCK TOWER BRANCH"
1932836.76,Employee_NASSIT,"CONGO CROSS BRANCH"
87518974.53,Employee_NASSIT,"HEAD OFFICE"
5135522.64,Employee_NASSIT,"JUBA BRANCH"
10037906.95,Employee_NASSIT,"KAILAHUN BRANCH"
7673649.76,Employee_NASSIT,"KENEMA BRANCH"
2670810.36,Employee_NASSIT,"MAKENI BRANCH"
8525517.52,Employee_NASSIT,"PUJEHUN BRANCH"
19258863.13,Employee_NASSIT,"SIAKA STEVENS STREET BRANCH"
331183.08,Employee_NASSIT,"WELLINGTON BRANCH"
1717664.90,Employee_NASSIT,"WILBERFORCE STREET BRANCH"
2809270.91,Employee_NASSIT,"WILKINSON ROAD BRANCH"
17355124.00,Employer_NASSIT,"BO BRANCH"
1953774.50,Employer_NASSIT,"CHARLOTTE STREET BRANCH"
17275095.51,Employer_NASSIT,"CLOCK TOWER BRANCH"
3865673.51,Employer_NASSIT,"CONGO CROSS BRANCH"
175191032.45,Employer_NASSIT,"HEAD OFFICE"
10271045.23,Employer_NASSIT,"JUBA BRANCH"
21312439.74,Employer_NASSIT,"KAILAHUN BRANCH"
15347299.52,Employer_NASSIT,"KENEMA BRANCH"
5341620.60,Employer_NASSIT,"MAKENI BRANCH"
17051035.30,Employer_NASSIT,"PUJEHUN BRANCH"
38517726.07,Employer_NASSIT,"SIAKA STEVENS STREET BRANCH"
662366.19,Employer_NASSIT,"WELLINGTON BRANCH"
3435329.80,Employer_NASSIT,"WILBERFORCE STREET BRANCH"
5618541.95,Employer_NASSIT,"WILKINSON ROAD BRANCH"
4657868.23,Lunch,"BO BRANCH"
2307057.55,Lunch,"CHARLOTTE STREET BRANCH"
18126880.75,Lunch,"CLOCK TOWER BRANCH"
2307057.55,Lunch,"CONGO CROSS BRANCH"
61050660.16,Lunch,"HEAD OFFICE"
5273274.40,Lunch,"JUBA BRANCH"
14831084.25,Lunch,"KAILAHUN BRANCH"
2865908.48,Lunch,"KENEMA BRANCH"
3954955.80,Lunch,"MAKENI BRANCH"
9557809.85,Lunch,"PUJEHUN BRANCH"
22771246.06,Lunch,"SIAKA STEVENS STREET BRANCH"
0.00,Lunch,"WELLINGTON BRANCH"
2307057.55,Lunch,"WILBERFORCE STREET BRANCH"
4284535.45,Lunch,"WILKINSON ROAD BRANCH"
20000.00,medical_excess,"BO BRANCH"
200000.00,medical_excess,"CHARLOTTE STREET BRANCH"
1060000.00,medical_excess,"CLOCK TOWER BRANCH"
140000.00,medical_excess,"CONGO CROSS BRANCH"
4230000.00,medical_excess,"HEAD OFFICE"
340000.00,medical_excess,"JUBA BRANCH"
900000.00,medical_excess,"KAILAHUN BRANCH"
400000.00,medical_excess,"KENEMA BRANCH"
240000.00,medical_excess,"MAKENI BRANCH"
520000.00,medical_excess,"PUJEHUN BRANCH"
1490000.00,medical_excess,"SIAKA STEVENS STREET BRANCH"
60000.00,medical_excess,"WELLINGTON BRANCH"
140000.00,medical_excess,"WILBERFORCE STREET BRANCH"
260000.00,medical_excess,"WILKINSON ROAD BRANCH"
0.00,Overtime,"BO BRANCH"
810000.00,Overtime,"CHARLOTTE STREET BRANCH"
1105000.00,Overtime,"CLOCK TOWER BRANCH"
0.00,Overtime,"CONGO CROSS BRANCH"
15670000.00,Overtime,"HEAD OFFICE"
1140000.00,Overtime,"JUBA BRANCH"
0.00,Overtime,"KAILAHUN BRANCH"
0.00,Overtime,"KENEMA BRANCH"
0.00,Overtime,"MAKENI BRANCH"
690000.00,Overtime,"PUJEHUN BRANCH"
3980000.00,Overtime,"SIAKA STEVENS STREET BRANCH"
0.00,Overtime,"WELLINGTON BRANCH"
0.00,Overtime,"WILBERFORCE STREET BRANCH"
3650000.00,Overtime,"WILKINSON ROAD BRANCH"
53220021.87,paye,"BO BRANCH"
5344617.26,paye,"CHARLOTTE STREET BRANCH"
58649010.08,paye,"CLOCK TOWER BRANCH"
11334235.68,paye,"CONGO CROSS BRANCH"
551262094.52,paye,"HEAD OFFICE"
34329507.57,paye,"JUBA BRANCH"
62410289.57,paye,"KAILAHUN BRANCH"
49258913.50,paye,"KENEMA BRANCH"
15407432.57,paye,"MAKENI BRANCH"
74570652.49,paye,"PUJEHUN BRANCH"
126639167.66,paye,"SIAKA STEVENS STREET BRANCH"
2246957.85,paye,"WELLINGTON BRANCH"
9489433.69,paye,"WILBERFORCE STREET BRANCH"
17284815.40,paye,"WILKINSON ROAD BRANCH"
,staff_association,"BO BRANCH"
,staff_association,"CHARLOTTE STREET BRANCH"
,staff_association,"CLOCK TOWER BRANCH"
,staff_association,"CONGO CROSS BRANCH"
,staff_association,"HEAD OFFICE"
,staff_association,"JUBA BRANCH"
,staff_association,"KAILAHUN BRANCH"
,staff_association,"KENEMA BRANCH"
,staff_association,"MAKENI BRANCH"
,staff_association,"PUJEHUN BRANCH"
,staff_association,"SIAKA STEVENS STREET BRANCH"
,staff_association,"WELLINGTON BRANCH"
,staff_association,"WILBERFORCE STREET BRANCH"
,staff_association,"WILKINSON ROAD BRANCH"
0.00,"Stewards Allowance","BO BRANCH"
0.00,"Stewards Allowance","CHARLOTTE STREET BRANCH"
0.00,"Stewards Allowance","CLOCK TOWER BRANCH"
0.00,"Stewards Allowance","CONGO CROSS BRANCH"
18499.00,"Stewards Allowance","HEAD OFFICE"
0.00,"Stewards Allowance","JUBA BRANCH"
18499.00,"Stewards Allowance","KAILAHUN BRANCH"
0.00,"Stewards Allowance","KENEMA BRANCH"
0.00,"Stewards Allowance","MAKENI BRANCH"
0.00,"Stewards Allowance","PUJEHUN BRANCH"
0.00,"Stewards Allowance","SIAKA STEVENS STREET BRANCH"
0.00,"Stewards Allowance","WELLINGTON BRANCH"
0.00,"Stewards Allowance","WILBERFORCE STREET BRANCH"
0.00,"Stewards Allowance","WILKINSON ROAD BRANCH"
,sundry_allowance,"BO BRANCH"
,sundry_allowance,"CHARLOTTE STREET BRANCH"
,sundry_allowance,"CLOCK TOWER BRANCH"
,sundry_allowance,"CONGO CROSS BRANCH"
,sundry_allowance,"HEAD OFFICE"
,sundry_allowance,"JUBA BRANCH"
,sundry_allowance,"KAILAHUN BRANCH"
,sundry_allowance,"KENEMA BRANCH"
,sundry_allowance,"MAKENI BRANCH"
,sundry_allowance,"PUJEHUN BRANCH"
,sundry_allowance,"SIAKA STEVENS STREET BRANCH"
,sundry_allowance,"WELLINGTON BRANCH"
,sundry_allowance,"WILBERFORCE STREET BRANCH"
,sundry_allowance,"WILKINSON ROAD BRANCH"
807168.21,Transport,"BO BRANCH"
8939609.48,Transport,"CHARLOTTE STREET BRANCH"
44394251.55,Transport,"CLOCK TOWER BRANCH"
7651963.93,Transport,"CONGO CROSS BRANCH"
135120814.87,Transport,"HEAD OFFICE"
28626323.47,Transport,"JUBA BRANCH"
44329715.29,Transport,"KAILAHUN BRANCH"
0.00,Transport,"KENEMA BRANCH"
9686018.52,Transport,"MAKENI BRANCH"
52433781.76,Transport,"PUJEHUN BRANCH"
69985804.92,Transport,"SIAKA STEVENS STREET BRANCH"
5097380.67,Transport,"WELLINGTON BRANCH"
5650177.47,Transport,"WILBERFORCE STREET BRANCH"
13205367.75,Transport,"WILKINSON ROAD BRANCH"
,witholding_tax,"BO BRANCH"
,witholding_tax,"CHARLOTTE STREET BRANCH"
,witholding_tax,"CLOCK TOWER BRANCH"
,witholding_tax,"CONGO CROSS BRANCH"
,witholding_tax,"HEAD OFFICE"
,witholding_tax,"JUBA BRANCH"
,witholding_tax,"KAILAHUN BRANCH"
,witholding_tax,"KENEMA BRANCH"
,witholding_tax,"MAKENI BRANCH"
,witholding_tax,"PUJEHUN BRANCH"
,witholding_tax,"SIAKA STEVENS STREET BRANCH"
,witholding_tax,"WELLINGTON BRANCH"
,witholding_tax,"WILBERFORCE STREET BRANCH"
,witholding_tax,"WILKINSON ROAD BRANCH"
15000.00,word_processing,"BO BRANCH"
150000.00,word_processing,"CHARLOTTE STREET BRANCH"
795000.00,word_processing,"CLOCK TOWER BRANCH"
105000.00,word_processing,"CONGO CROSS BRANCH"
1785000.00,word_processing,"HEAD OFFICE"
255000.00,word_processing,"JUBA BRANCH"
675000.00,word_processing,"KAILAHUN BRANCH"
0.00,word_processing,"KENEMA BRANCH"
180000.00,word_processing,"MAKENI BRANCH"
390000.00,word_processing,"PUJEHUN BRANCH"
930000.00,word_processing,"SIAKA STEVENS STREET BRANCH"
45000.00,word_processing,"WELLINGTON BRANCH"
105000.00,word_processing,"WILBERFORCE STREET BRANCH"
195000.00,word_processing,"WILKINSON ROAD BRANCH"
